route,score,tier,rubric_version,estimated,A1,A2,A3,A4,A5,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3
I-520,28.8,T4,v1.4,true,4.2,0.0,1.1,0.0,0.0,5.1,1.8,4.7,5.0,0.8,0.8,4.9,0.0,0.0,0.0,0.4
I-526,24.9,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,6.0,3.6,6.0,5.0,0.8,0.0,3.0,0.0,0.0,0.0,0.5
I-530,27.8,T4,v1.4,true,2.0,0.0,0.0,0.0,0.0,0.9,3.6,4.3,5.0,0.6,0.6,5.6,0.0,0.0,4.0,1.2
I-535,33.7,T3,v1.4,true,0.0,0.0,0.0,0.0,0.0,7.7,2.2,0.0,5.0,0.0,6.0,4.2,0.0,0.0,0.0,8.7
I-540,39.4,T3,v1.4,true,4.9,0.0,2.5,0.0,0.0,6.1,5.1,3.9,5.0,0.4,2.1,6.5,0.0,0.0,2.8,0.2
I-55,68.5,T2,v1.4,true,1.9,1.5,0.0,0.0,9.0,2.0,10.0,10.0,5.0,5.6,1.8,4.4,0.0,10.0,3.6,3.7
I-555,31.3,T3,v1.4,true,1.0,0.0,0.0,0.0,0.0,4.2,1.3,10.0,5.0,1.3,0.7,5.5,0.0,0.0,1.0,1.3
I-564,34.2,T3,v1.4,true,3.2,0.0,0.0,0.0,0.0,0.0,0.8,10.0,5.0,1.7,0.0,2.7,0.0,10.0,0.0,0.7
I-565,35.5,T3,v1.4,true,5.6,0.0,6.0,0.0,0.0,4.8,1.8,2.9,5.0,0.9,0.7,4.6,0.0,0.0,2.6,0.5
I-57,49.6,T3,v1.4,true,0.0,0.0,0.0,0.0,10.0,3.9,10.0,4.4,5.0,0.3,3.8,6.6,0.0,0.0,1.0,4.6
I-575,37.4,T3,v1.4,true,6.1,0.0,8.6,0.0,0.0,2.8,3.6,1.5,5.0,5.4,0.0,2.1,0.0,0.0,1.0,1.4
I-579,24.1,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,0.0,0.8,10.0,5.0,2.7,0.0,4.2,0.0,0.0,0.0,1.4
I-580,28.9,T4,v1.4,true,3.9,0.0,0.0,0.0,0.0,1.5,5.1,0.0,5.0,5.4,3.5,0.0,0.0,0.0,1.0,3.5
I-581,39.0,T3,v1.4,true,5.7,0.0,1.2,0.0,0.0,5.1,10.0,2.4,5.0,0.7,1.0,5.4,0.0,0.0,0.0,2.4
I-585,17.6,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,1.5,1.8,2.4,5.0,1.8,0.0,4.8,0.0,0.0,0.0,0.3
I-587,17.2,T4,v1.4,true,0.0,0.0,0.0,0.0,0.0,3.4,0.4,5.6,5.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0
I-59,57.6,T2,v1.4,true,2.3,0.5,0.0,0.0,10.0,2.1,10.0,8.4,5.0,4.6,3.7,5.6,0.0,0.0,3.2,2.1
